Replicate,Treatment,Sex,Weight,Unt_Length,Length,Rel_weight,block,RW
1,Adapted17,Female,0.0022,82,2.64516129,0.000831707,1,0.008317073
2,Adapted17,Female,0.002,80,2.580645161,0.000775,1,0.00775
3,Adapted17,Female,0.0024,85,2.741935484,0.000875294,1,0.008752941
4,Adapted17,Female,0.0024,84,2.709677419,0.000885714,1,0.008857143
5,Adapted17,Female,0.0027,87,2.806451613,0.000962069,1,0.00962069
6,Adapted17,Female,0.002,84,2.709677419,0.000738095,1,0.007380952
7,Adapted17,Female,0.0023,85,2.741935484,0.000838824,1,0.008388235
8,Adapted17,Female,0.0022,82,2.64516129,0.000831707,1,0.008317073
9,Adapted17,Female,0.0021,82,2.64516129,0.000793902,1,0.007939024
10,Adapted17,Female,0.0023,84,2.709677419,0.00084881,1,0.008488095
11,Adapted17,Female,0.002,81,2.612903226,0.000765432,1,0.007654321
12,Adapted17,Female,0.0023,83,2.677419355,0.000859036,1,0.008590361
13,Adapted17,Female,0.0022,87,2.806451613,0.000783908,1,0.00783908
14,Adapted17,Female,0.0023,83,2.677419355,0.000859036,1,0.008590361
15,Adapted17,Female,0.0018,78,2.516129032,0.000715385,1,0.007153846
16,Adapted17,Female,0.0024,84,2.709677419,0.000885714,1,0.008857143
1,Adapted17,Male,0.0021,78,2.516129032,0.000834615,1,0.008346154
2,Adapted17,Male,0.0023,81,2.612903226,0.000880247,1,0.008802469
3,Adapted17,Male,0.0017,77,2.483870968,0.000684416,1,0.006844156
4,Adapted17,Male,0.0018,81,2.612903226,0.000688889,1,0.006888889
5,Adapted17,Male,0.0021,79,2.548387097,0.000824051,1,0.008240506
6,Adapted17,Male,0.002,80,2.580645161,0.000775,1,0.00775
7,Adapted17,Male,0.0016,76,2.451612903,0.000652632,1,0.006526316
8,Adapted17,Male,0.0019,78,2.516129032,0.000755128,1,0.007551282
9,Adapted17,Male,0.0021,80,2.580645161,0.00081375,1,0.0081375
10,Adapted17,Male,0.0015,76,2.451612903,0.000611842,1,0.006118421
11,Adapted17,Male,0.0023,80,2.580645161,0.00089125,1,0.0089125
12,Adapted17,Male,0.0019,80,2.580645161,0.00073625,1,0.0073625
13,Adapted17,Male,0.0016,78,2.516129032,0.000635897,1,0.006358974
14,Adapted17,Male,0.0016,76,2.451612903,0.000652632,1,0.006526316
15,Adapted17,Male,0.0017,79,2.548387097,0.000667089,1,0.006670886
16,Adapted17,Male,0.0019,80,2.580645161,0.00073625,1,0.0073625
17,Adapted17,Male,0.0018,79,2.548387097,0.000706329,1,0.007063291
18,Adapted17,Male,0.0017,77,2.483870968,0.000684416,1,0.006844156
19,Adapted17,Male,0.0018,79,2.548387097,0.000706329,1,0.007063291
1,Adapted9,Male,0.0018,75,2.34375,0.000768,1,0.00768
2,Adapted9,Male,0.0015,68,2.125,0.000705882,1,0.007058824
3,Adapted9,Male,0.0014,72,2.25,0.000622222,1,0.006222222
4,Adapted9,Male,0.0015,70,2.1875,0.000685714,1,0.006857143
5,Adapted9,Male,0.0015,71,2.21875,0.000676056,1,0.006760563
6,Adapted9,Male,0.0015,68,2.125,0.000705882,1,0.007058824
7,Adapted9,Male,0.0017,74,2.3125,0.000735135,1,0.007351351
8,Adapted9,Male,0.0015,69,2.15625,0.000695652,1,0.006956522
9,Adapted9,Male,0.0017,70,2.1875,0.000777143,1,0.007771429
10,Adapted9,Male,0.0015,67,2.09375,0.000716418,1,0.007164179
11,Adapted9,Male,0.0016,73,2.28125,0.00070137,1,0.007013699
12,Adapted9,Male,0.0017,73,2.28125,0.000745205,1,0.007452055
13,Adapted9,Male,0.0016,66,2.0625,0.000775758,1,0.007757576
14,Adapted9,Male,0.0018,77,2.40625,0.000748052,1,0.007480519
15,Adapted9,Male,0.0017,70,2.1875,0.000777143,1,0.007771429
16,Adapted9,Male,0.0017,70,2.1875,0.000777143,1,0.007771429
17,Adapted9,Male,0.0014,69,2.15625,0.000649275,1,0.006492754
18,Adapted9,Male,0.0016,74,2.3125,0.000691892,1,0.006918919
19,Adapted9,Male,0.0018,75,2.34375,0.000768,1,0.00768
1,Adapted9,Female,0.0014,72,2.25,0.000622222,1,0.006222222
2,Adapted9,Female,0.0021,75,2.34375,0.000896,1,0.00896
3,Adapted9,Female,0.0021,75,2.34375,0.000896,1,0.00896
4,Adapted9,Female,0.0019,75,2.34375,0.000810667,1,0.008106667
5,Adapted9,Female,0.0018,75,2.34375,0.000768,1,0.00768
6,Adapted9,Female,0.0017,73,2.28125,0.000745205,1,0.007452055
7,Adapted9,Female,0.0019,75,2.34375,0.000810667,1,0.008106667
8,Adapted9,Female,0.0017,73,2.28125,0.000745205,1,0.007452055
9,Adapted9,Female,0.0021,74,2.3125,0.000908108,1,0.009081081
10,Adapted9,Female,0.0017,73,2.28125,0.000745205,1,0.007452055
11,Adapted9,Female,0.0016,70,2.1875,0.000731429,1,0.007314286
12,Adapted9,Female,0.0017,74,2.3125,0.000735135,1,0.007351351
13,Adapted9,Female,0.0016,71,2.21875,0.000721127,1,0.007211268
14,Adapted9,Female,0.0014,72,2.25,0.000622222,1,0.006222222
15,Adapted9,Female,0.0016,73,2.28125,0.00070137,1,0.007013699
16,Adapted9,Female,0.002,75,2.34375,0.000853333,1,0.008533333
17,Adapted9,Female,0.002,71,2.21875,0.000901408,1,0.009014085
18,Adapted9,Female,0.0017,74,2.3125,0.000735135,1,0.007351351
19,Adapted9,Female,0.0018,75,2.34375,0.000768,1,0.00768
1,Wheat,Male,0.002,80,2.5,0.0008,1,0.008
2,Wheat,Male,0.0017,80,2.5,0.00068,1,0.0068
3,Wheat,Male,0.0024,80,2.5,0.00096,1,0.0096
4,Wheat,Male,0.0018,76,2.375,0.000757895,1,0.007578947
5,Wheat,Male,0.0021,79,2.46875,0.000850633,1,0.008506329
6,Wheat,Male,0.0024,81,2.53125,0.000948148,1,0.009481481
7,Wheat,Male,0.0023,79,2.46875,0.000931646,1,0.009316456
8,Wheat,Male,0.0018,78,2.4375,0.000738462,1,0.007384615
9,Wheat,Male,0.002,78,2.4375,0.000820513,1,0.008205128
10,Wheat,Male,0.0022,80,2.5,0.00088,1,0.0088
11,Wheat,Male,0.0021,79,2.46875,0.000850633,1,0.008506329
12,Wheat,Male,0.002,81,2.53125,0.000790123,1,0.007901235
13,Wheat,Male,0.002,78,2.4375,0.000820513,1,0.008205128
14,Wheat,Male,0.0023,80,2.5,0.00092,1,0.0092
15,Wheat,Male,0.0019,72,2.25,0.000844444,1,0.008444444
16,Wheat,Male,0.002,80,2.5,0.0008,1,0.008
17,Wheat,Male,0.0024,80,2.5,0.00096,1,0.0096
18,Wheat,Male,0.0024,75,2.34375,0.001024,1,0.01024
19,Wheat,Male,0.0016,75,2.34375,0.000682667,1,0.006826667
20,Wheat,Male,0.0019,74,2.3125,0.000821622,1,0.008216216
1,Corn,Male,0.0014,77,2.40625,0.000581818,1,0.005818182
2,Corn,Male,0.0018,78,2.4375,0.000738462,1,0.007384615
3,Corn,Male,0.0021,75,2.34375,0.000896,1,0.00896
4,Corn,Male,0.0018,75,2.34375,0.000768,1,0.00768
5,Corn,Male,0.0022,80,2.5,0.00088,1,0.0088
6,Corn,Male,0.0014,70,2.1875,0.00064,1,0.0064
7,Corn,Male,0.0017,79,2.46875,0.000688608,1,0.006886076
8,Corn,Male,0.0019,78,2.4375,0.000779487,1,0.007794872
9,Corn,Male,0.0017,74,2.3125,0.000735135,1,0.007351351
10,Corn,Male,0.0018,73,2.28125,0.000789041,1,0.007890411
11,Corn,Male,0.0016,73,2.28125,0.00070137,1,0.007013699
12,Corn,Male,0.0016,75,2.34375,0.000682667,1,0.006826667
13,Corn,Male,0.0021,74,2.3125,0.000908108,1,0.009081081
14,Corn,Male,0.0016,75,2.34375,0.000682667,1,0.006826667
15,Corn,Male,0.0018,75,2.34375,0.000768,1,0.00768
16,Corn,Male,0.0016,75,2.34375,0.000682667,1,0.006826667
17,Corn,Male,0.0016,72,2.25,0.000711111,1,0.007111111
18,Corn,Male,0.0017,73,2.28125,0.000745205,1,0.007452055
19,Corn,Male,0.0015,70,2.1875,0.000685714,1,0.006857143
20,Corn,Male,0.0018,75,2.34375,0.000768,1,0.00768
1,Wheat,Female,0.0024,84,2.625,0.000914286,1,0.009142857
2,Wheat,Female,0.0024,81,2.53125,0.000948148,1,0.009481481
3,Wheat,Female,0.0023,80,2.5,0.00092,1,0.0092
4,Wheat,Female,0.0026,86,2.6875,0.000967442,1,0.009674419
5,Wheat,Female,0.0019,77,2.40625,0.00078961,1,0.007896104
6,Wheat,Female,0.0022,80,2.5,0.00088,1,0.0088
7,Wheat,Female,0.0022,78,2.4375,0.000902564,1,0.009025641
8,Wheat,Female,0.0021,83,2.59375,0.000809639,1,0.008096386
9,Wheat,Female,0.0019,76,2.375,0.0008,1,0.008
10,Wheat,Female,0.0017,75,2.34375,0.000725333,1,0.007253333
11,Wheat,Female,0.0021,84,2.625,0.0008,1,0.008
12,Wheat,Female,0.0022,81,2.53125,0.000869136,1,0.008691358
13,Wheat,Female,0.0019,81,2.53125,0.000750617,1,0.007506173
14,Wheat,Female,0.0021,78,2.4375,0.000861538,1,0.008615385
15,Wheat,Female,0.0023,84,2.625,0.00087619,1,0.008761905
16,Wheat,Female,0.0018,75,2.34375,0.000768,1,0.00768
17,Wheat,Female,0.0022,78,2.4375,0.000902564,1,0.009025641
18,Wheat,Female,0.0022,78,2.4375,0.000902564,1,0.009025641
19,Wheat,Female,0.0022,76,2.375,0.000926316,1,0.009263158
20,Wheat,Female,0.0019,81,2.53125,0.000750617,1,0.007506173
1,Corn,Female,0.0016,76,2.375,0.000673684,1,0.006736842
2,Corn,Female,0.0014,75,2.34375,0.000597333,1,0.005973333
3,Corn,Female,0.0017,76,2.375,0.000715789,1,0.007157895
4,Corn,Female,0.0022,77,2.40625,0.000914286,1,0.009142857
5,Corn,Female,0.0015,71,2.21875,0.000676056,1,0.006760563
6,Corn,Female,0.0018,70,2.1875,0.000822857,1,0.008228571
7,Corn,Female,0.0017,78,2.4375,0.000697436,1,0.006974359
8,Corn,Female,0.0016,75,2.34375,0.000682667,1,0.006826667
9,Corn,Female,0.0016,76,2.375,0.000673684,1,0.006736842
10,Corn,Female,0.0018,75,2.34375,0.000768,1,0.00768
11,Corn,Female,0.002,77,2.40625,0.000831169,1,0.008311688
12,Corn,Female,0.0019,77,2.40625,0.00078961,1,0.007896104
13,Corn,Female,0.0018,78,2.4375,0.000738462,1,0.007384615
14,Corn,Female,0.002,78,2.4375,0.000820513,1,0.008205128
15,Corn,Female,0.0016,77,2.40625,0.000664935,1,0.006649351
16,Corn,Female,0.0015,74,2.3125,0.000648649,1,0.006486486
17,Corn,Female,0.0017,75,2.34375,0.000725333,1,0.007253333
18,Corn,Female,0.0018,80,2.5,0.00072,1,0.0072
19,Corn,Female,0.0017,75,2.34375,0.000725333,1,0.007253333